Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-07-05 11:19:25,false,"Bloomington Running","2.75","355","00:30:16","138","155","140","210","11:01","6:06","32","48","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:21.66","3","0.0"
Cardio,2020-07-05 10:56:21,false,"Cardio","0.34","128","00:21:47","99","118","114","148","0.9","5.1","--","--","0.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","21:47.04","1","0.0"
Running,2020-07-02 12:08:54,false,"Bloomington Running","2.27","308","00:24:21","147","164","140","152","10:43","1:30","21","19","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:02.20","3","0.0"
Cardio,2020-07-02 11:43:56,false,"Cardio","0.37","206","00:23:46","116","141","116","152","0.9","5.4","--","--","0.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","23:46.15","1","0.0"
Walking,2020-06-30 17:18:03,false,"Bloomington Walking","1.74","229","00:31:24","88","112","102","122","18:02","7:16","36","38","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:38.61","2","0.0"
Running,2020-06-30 11:57:49,false,"McLean County Running","2.02","275","00:21:56","141","152","142","154","10:52","3:29","20","20","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.44","3","0.0"
Cardio,2020-06-30 11:33:22,false,"Cardio","0.34","194","00:23:02","115","131","114","156","0.9","5.4","--","--","0.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","23:02.13","1","0.0"
Walking,2020-06-28 20:09:54,false,"Bloomington Walking","2.01","273","00:37:03","92","112","102","122","18:27","2:34","51","52","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.94","3","0.0"
Running,2020-06-28 18:31:22,false,"Bloomington Running","2.02","284","00:22:22","144","156","140","148","11:04","0:25","10","9","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.95","3","0.0"
Cardio,2020-06-28 18:04:45,false,"Cardio","0.48","264","00:26:04","125","148","120","242","1.1","8.8","--","--","0.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","26:03.95","1","0.0"
Cardio,2020-06-26 18:39:27,false,"Cardio","0.27","123","00:16:56","106","129","112","146","0.9","5.5","--","--","0.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:56.28","1","0.0"
Running,2020-06-26 12:01:16,false,"Bloomington Running","2.00","294","00:25:22","138","155","134","162","12:40","1:06","50","38","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.17","3","0.0"
Cardio,2020-06-26 11:42:38,false,"Cardio","0.20","102","00:16:26","102","117","118","132","0.7","4.7","--","--","0.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:25.97","1","0.0"
Running,2020-06-25 11:12:46,false,"Bloomington Running","3.00","454","00:40:03","142","181","134","226","13:21","0:59","39","40","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.27","4","0.0"
Walking,2020-06-23 17:58:09,false,"Bloomington Walking","1.16","163","00:22:04","86","103","104","122","18:57","1:05","27","27","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:26.92","2","0.0"
Walking,2020-06-23 17:29:41,false,"Bloomington Walking","1.15","156","00:22:26","93","130","104","126","19:35","2:40","23","23","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:54.55","2","0.0"
Running,2020-06-23 11:15:04,false,"Bloomington Running","2.81","372","00:35:19","121","154","134","188","12:35","4:14","41","38","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:47.73","3","0.0"
